"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDEXPRD","TOT","MLN_USD","A","2001",7083.24366890752,
"AUT","GDEXPRD","TOT","MLN_USD","A","2002",7467.25550111105,
"AUT","GDEXPRD","TOT","MLN_USD","A","2003",7933.67489558838,
"AUT","GDEXPRD","TOT","MLN_USD","A","2004",8119.03650214408,
"AUT","GDEXPRD","TOT","MLN_USD","A","2005",9094.99376194869,
"AUT","GDEXPRD","TOT","MLN_USD","A","2006",9353.58234652983,
"AUT","GDEXPRD","TOT","MLN_USD","A","2007",9945.70835428377,
"AUT","GDEXPRD","TOT","MLN_USD","A","2008",10721.0745097445,
"AUT","GDEXPRD","TOT","MLN_USD","A","2009",10427.0471362422,
"AUT","GDEXPRD","TOT","MLN_USD","A","2010",11147.5974802985,
"AUT","GDEXPRD","TOT","MLN_USD","A","2011",11231.7426575564,
"AUT","GDEXPRD","TOT","MLN_USD","A","2012",12350.7341574709,
"AUT","GDEXPRD","TOT","MLN_USD","A","2013",12524.2680483109,
"AUT","GDEXPRD","TOT","MLN_USD","A","2014",13159.034572333,
"AUT","GDEXPRD","TOT","MLN_USD","A","2015",13143.4317996908,
"AUT","GDEXPRD","TOT","MLN_USD","A","2016",13698.7800097897,
"AUT","GDEXPRD","TOT","MLN_USD","A","2017",13738.5654484865,
"AUT","GDEXPRD","TOT","MLN_USD","A","2018",14239.1655866008,
"AUT","GDEXPRD","TOT","MLN_USD","A","2019",14634.3348391768,
"AUT","GDEXPRD","TOT","MLN_USD","A","2020",14025.1173950243,
"AUT","GDEXPRD","TOT","PC_GDP","A","1981",1.08998446539469,
"AUT","GDEXPRD","TOT","PC_GDP","A","1982",1.13556683151004,
"AUT","GDEXPRD","TOT","PC_GDP","A","1983",1.14474248320651,
"AUT","GDEXPRD","TOT","PC_GDP","A","1984",1.1948537641831,
"AUT","GDEXPRD","TOT","PC_GDP","A","1985",1.19686282764169,
"AUT","GDEXPRD","TOT","PC_GDP","A","1986",1.23623141956436,
"AUT","GDEXPRD","TOT","PC_GDP","A","1987",1.24378836166898,
"AUT","GDEXPRD","TOT","PC_GDP","A","1988",1.28386479536483,
"AUT","GDEXPRD","TOT","PC_GDP","A","1989",1.30415193232277,
"AUT","GDEXPRD","TOT","PC_GDP","A","1990",1.35049262497982,
"AUT","GDEXPRD","TOT","PC_GDP","A","1991",1.42731437094813,
"AUT","GDEXPRD","TOT","PC_GDP","A","1992",1.41444162272791,
"AUT","GDEXPRD","TOT","PC_GDP","A","1993",1.43126594165034,
"AUT","GDEXPRD","TOT","PC_GDP","A","1994",1.50971321529818,
"AUT","GDEXPRD","TOT","PC_GDP","A","1995",1.52975432983926,
"AUT","GDEXPRD","TOT","PC_GDP","A","1996",1.58076919537147,
"AUT","GDEXPRD","TOT","PC_GDP","A","1997",1.65491086019058,
"AUT","GDEXPRD","TOT","PC_GDP","A","1998",1.73154759330961,
"AUT","GDEXPRD","TOT","PC_GDP","A","1999",1.84537125182573,
"AUT","GDEXPRD","TOT","PC_GDP","A","2000",1.88602424420832,
"AUT","GDEXPRD","TOT","PC_GDP","A","2001",1.99210448081461,
"AUT","GDEXPRD","TOT","PC_GDP","A","2002",2.06598383788809,
"AUT","GDEXPRD","TOT","PC_GDP","A","2003",2.17455641590277,
"AUT","GDEXPRD","TOT","PC_GDP","A","2004",2.16611664552492,
"AUT","GDEXPRD","TOT","PC_GDP","A","2005",2.37323990476357,
"AUT","GDEXPRD","TOT","PC_GDP","A","2006",2.35922709819809,
"AUT","GDEXPRD","TOT","PC_GDP","A","2007",2.41843231712657,
"AUT","GDEXPRD","TOT","PC_GDP","A","2008",2.5694481629698,
"AUT","GDEXPRD","TOT","PC_GDP","A","2009",2.59673677655242,
"AUT","GDEXPRD","TOT","PC_GDP","A","2010",2.72610057349756,
"AUT","GDEXPRD","TOT","PC_GDP","A","2011",2.66867789645755,
"AUT","GDEXPRD","TOT","PC_GDP","A","2012",2.91471878002482,
"AUT","GDEXPRD","TOT","PC_GDP","A","2013",2.95491836935052,
"AUT","GDEXPRD","TOT","PC_GDP","A","2014",3.08428672143724,
"AUT","GDEXPRD","TOT","PC_GDP","A","2015",3.04969049949657,
"AUT","GDEXPRD","TOT","PC_GDP","A","2016",3.1165470454446,
"AUT","GDEXPRD","TOT","PC_GDP","A","2017",3.05656374330139,
"AUT","GDEXPRD","TOT","PC_GDP","A","2018",3.09062267666553,
"AUT","GDEXPRD","TOT","PC_GDP","A","2019",3.12972371049662,
"AUT","GDEXPRD","TOT","PC_GDP","A","2020",3.21601866242104,
"BEL","GDEXPRD","TOT","MLN_USD","A","1983",4080.0820262288,
"BEL","GDEXPRD","TOT","MLN_USD","A","1984",4213.97521815384,
"BEL","GDEXPRD","TOT","MLN_USD","A","1985",4426.02815265549,
"BEL","GDEXPRD","TOT","MLN_USD","A","1986",4515.7619147452,
"BEL","GDEXPRD","TOT","MLN_USD","A","1987",4656.33053172479,
"BEL","GDEXPRD","TOT","MLN_USD","A","1988",4737.95896872001,
"BEL","GDEXPRD","TOT","MLN_USD","A","1989",5074.55370332505,
"BEL","GDEXPRD","TOT","MLN_USD","A","1991",5248.60774126119,
"BEL","GDEXPRD","TOT","MLN_USD","A","1993",5541.22138169952,
"BEL","GDEXPRD","TOT","MLN_USD","A","1994",5686.58719114214,
"BEL","GDEXPRD","TOT","MLN_USD","A","1995",5893.96586198894,
"BEL","GDEXPRD","TOT","MLN_USD","A","1996",6318.79168451662,
"BEL","GDEXPRD","TOT","MLN_USD","A","1997",6809.59099062129,
"BEL","GDEXPRD","TOT","MLN_USD","A","1998",7052.66648522592,
"BEL","GDEXPRD","TOT","MLN_USD","A","1999",7570.25287257382,
"BEL","GDEXPRD","TOT","MLN_USD","A","2000",7977.48394245692,
"BEL","GDEXPRD","TOT","MLN_USD","A","2001",8467.57776611634,
"BEL","GDEXPRD","TOT","MLN_USD","A","2002",8063.2855375884,
"BEL","GDEXPRD","TOT","MLN_USD","A","2003",7881.35937483958,
"BEL","GDEXPRD","TOT","MLN_USD","A","2004",8071.09090986355,
"BEL","GDEXPRD","TOT","MLN_USD","A","2005",8122.84949756864,
"BEL","GDEXPRD","TOT","MLN_USD","A","2006",8479.4437281183,
"BEL","GDEXPRD","TOT","MLN_USD","A","2007",8922.90526755762,
"BEL","GDEXPRD","TOT","MLN_USD","A","2008",9383.52649654139,
"BEL","GDEXPRD","TOT","MLN_USD","A","2009",9487.07128142787,
"BEL","GDEXPRD","TOT","MLN_USD","A","2010",10067.7839884114,
"BEL","GDEXPRD","TOT","MLN_USD","A","2011",10791.7865393066,
"BEL","GDEXPRD","TOT","MLN_USD","A","2012",11410.887400616,
"BEL","GDEXPRD","TOT","MLN_USD","A","2013",11712.4654000665,
"BEL","GDEXPRD","TOT","MLN_USD","A","2014",12097.9150752215,
"BEL","GDEXPRD","TOT","MLN_USD","A","2015",12647.7756591749,
"BEL","GDEXPRD","TOT","MLN_USD","A","2016",13310.2009346071,
"BEL","GDEXPRD","TOT","MLN_USD","A","2017",14293.8029032602,
"BEL","GDEXPRD","TOT","MLN_USD","A","2018",15612.3724116347,
"BEL","GDEXPRD","TOT","MLN_USD","A","2019",17611.903402026,
"BEL","GDEXPRD","TOT","MLN_USD","A","2020",17756.8677774703,
"BEL","GDEXPRD","TOT","PC_GDP","A","1983",1.49645052720352,
"BEL","GDEXPRD","TOT","PC_GDP","A","1984",1.50835664840746,
"BEL","GDEXPRD","TOT","PC_GDP","A","1985",1.5585157442497,
"BEL","GDEXPRD","TOT","PC_GDP","A","1986",1.56164812639193,
"BEL","GDEXPRD","TOT","PC_GDP","A","1987",1.57395403487419,
"BEL","GDEXPRD","TOT","PC_GDP","A","1988",1.52931376665707,
"BEL","GDEXPRD","TOT","PC_GDP","A","1989",1.58304114806976,
"BEL","GDEXPRD","TOT","PC_GDP","A","1991",1.55895443854328,
"BEL","GDEXPRD","TOT","PC_GDP","A","1993",1.63679843977686,
"BEL","GDEXPRD","TOT","PC_GDP","A","1994",1.62722728413134,
"BEL","GDEXPRD","TOT","PC_GDP","A","1995",1.64728531311123,
"BEL","GDEXPRD","TOT","PC_GDP","A","1996",1.74298579592519,
"BEL","GDEXPRD","TOT","PC_GDP","A","1997",1.80971431132768,
"BEL","GDEXPRD","TOT","PC_GDP","A","1998",1.83825100209007,
"BEL","GDEXPRD","TOT","PC_GDP","A","1999",1.90564580566189,
"BEL","GDEXPRD","TOT","PC_GDP","A","2000",1.93619516589671,
"BEL","GDEXPRD","TOT","PC_GDP","A","2001",2.0327916505539,
"BEL","GDEXPRD","TOT","PC_GDP","A","2002",1.90324791270747,
"BEL","GDEXPRD","TOT","PC_GDP","A","2003",1.84119500416429,
"BEL","GDEXPRD","TOT","PC_GDP","A","2004",1.82050497301897,
"BEL","GDEXPRD","TOT","PC_GDP","A","2005",1.79060640173966,
"BEL","GDEXPRD","TOT","PC_GDP","A","2006",1.82269277552156,
"BEL","GDEXPRD","TOT","PC_GDP","A","2007",1.84999463067951,
"BEL","GDEXPRD","TOT","PC_GDP","A","2008",1.93683938647268,
"BEL","GDEXPRD","TOT","PC_GDP","A","2009",1.99859844697766,
"BEL","GDEXPRD","TOT","PC_GDP","A","2010",2.06187639426216,
"BEL","GDEXPRD","TOT","PC_GDP","A","2011",2.17332441767619,
"BEL","GDEXPRD","TOT","PC_GDP","A","2012",2.28114063401875,
"BEL","GDEXPRD","TOT","PC_GDP","A","2013",2.330725157809,
"BEL","GDEXPRD","TOT","PC_GDP","A","2014",2.37001632492836,
"BEL","GDEXPRD","TOT","PC_GDP","A","2015",2.42816558811658,
"BEL","GDEXPRD","TOT","PC_GDP","A","2016",2.52337710682044,
"BEL","GDEXPRD","TOT","PC_GDP","A","2017",2.66666179830091,
"BEL","GDEXPRD","TOT","PC_GDP","A","2018",2.85992096792878,
"BEL","GDEXPRD","TOT","PC_GDP","A","2019",3.15948744445506,
"BEL","GDEXPRD","TOT","PC_GDP","A","2020",3.3773516825531,
"CAN","GDEXPRD","TOT","MLN_USD","A","1981",8603.07959575952,
"CAN","GDEXPRD","TOT","MLN_USD","A","1982",9305.24564700912,
"CAN","GDEXPRD","TOT","MLN_USD","A","1983",9332.8962228299,
"CAN","GDEXPRD","TOT","MLN_USD","A","1984",10140.3393117301,
"CAN","GDEXPRD","TOT","MLN_USD","A","1985",10915.1541475913,
"CAN","GDEXPRD","TOT","MLN_USD","A","1986",11443.5699192039,
"CAN","GDEXPRD","TOT","MLN_USD","A","1987",11513.2752192445,
"CAN","GDEXPRD","TOT","MLN_USD","A","1988",11871.567193656,
"CAN","GDEXPRD","TOT","MLN_USD","A","1989",12730.6531356014,
"CAN","GDEXPRD","TOT","MLN_USD","A","1990",13271.5193176119,
"CAN","GDEXPRD","TOT","MLN_USD","A","1991",13518.6867031617,
"CAN","GDEXPRD","TOT","MLN_USD","A","1992",14026.7192706725,
"CAN","GDEXPRD","TOT","MLN_USD","A","1993",14881.9691559602,
"CAN","GDEXPRD","TOT","MLN_USD","A","1994",16062.6435877139,
"CAN","GDEXPRD","TOT","MLN_USD","A","1995",16194.0119886426,
"CAN","GDEXPRD","TOT","MLN_USD","A","1996",15988.0040012302,
"CAN","GDEXPRD","TOT","MLN_USD","A","1997",16744.7348753062,
"CAN","GDEXPRD","TOT","MLN_USD","A","1998",18439.4635794683,
"CAN","GDEXPRD","TOT","MLN_USD","A","1999",19837.4312827546,
"CAN","GDEXPRD","TOT","MLN_USD","A","2000",22159.9515640954,
"CAN","GDEXPRD","TOT","MLN_USD","A","2001",24531.1578068925,
"CAN","GDEXPRD","TOT","MLN_USD","A","2002",24653.0793600491,
"CAN","GDEXPRD","TOT","MLN_USD","A","2003",25047.725614356,
"CAN","GDEXPRD","TOT","MLN_USD","A","2004",26208.3781096522,
"CAN","GDEXPRD","TOT","MLN_USD","A","2005",26694.8352240645,
"CAN","GDEXPRD","TOT","MLN_USD","A","2006",27005.491390352,
"CAN","GDEXPRD","TOT","MLN_USD","A","2007",27005.7326371792,
"CAN","GDEXPRD","TOT","MLN_USD","A","2008",26592.0123609277,
"CAN","GDEXPRD","TOT","MLN_USD","A","2009",26671.322369019,
"CAN","GDEXPRD","TOT","MLN_USD","A","2010",26174.2020024546,
"CAN","GDEXPRD","TOT","MLN_USD","A","2011",26433.5852969669,
"CAN","GDEXPRD","TOT","MLN_USD","A","2012",26676.123644185,
"CAN","GDEXPRD","TOT","MLN_USD","A","2013",26266.6767977527,
"CAN","GDEXPRD","TOT","MLN_USD","A","2014",27159.4712472902,
"CAN","GDEXPRD","TOT","MLN_USD","A","2015",27004.6979120185,
"CAN","GDEXPRD","TOT","MLN_USD","A","2016",27851.5027851033,
"CAN","GDEXPRD","TOT","MLN_USD","A","2017",28000.9338304234,
"CAN","GDEXPRD","TOT","MLN_USD","A","2018",29593.9288995264,
"CAN","GDEXPRD","TOT","MLN_USD","A","2019",30236.5089975424,
"CAN","GDEXPRD","TOT","MLN_USD","A","2020",30335.7708890604,
"CAN","GDEXPRD","TOT","MLN_USD","A","2021",27670.0874287938,
"CAN","GDEXPRD","TOT","PC_GDP","A","1981",1.19856226822819,
"CAN","GDEXPRD","TOT","PC_GDP","A","1982",1.33906605423759,
"CAN","GDEXPRD","TOT","PC_GDP","A","1983",1.30899372442537,
"CAN","GDEXPRD","TOT","PC_GDP","A","1984",1.34289783673098,
"CAN","GDEXPRD","TOT","PC_GDP","A","1985",1.38012547322445,
"CAN","GDEXPRD","TOT","PC_GDP","A","1986",1.41655431707271,
"CAN","GDEXPRD","TOT","PC_GDP","A","1987",1.36940745486962,
"CAN","GDEXPRD","TOT","PC_GDP","A","1988",1.35238174236793,
"CAN","GDEXPRD","TOT","PC_GDP","A","1989",1.41740584503089,
"CAN","GDEXPRD","TOT","PC_GDP","A","1990",1.47519557843914,
"CAN","GDEXPRD","TOT","PC_GDP","A","1991",1.53468429249914,
"CAN","GDEXPRD","TOT","PC_GDP","A","1992",1.57815031540736,
"CAN","GDEXPRD","TOT","PC_GDP","A","1993",1.63097677892795,
"CAN","GDEXPRD","TOT","PC_GDP","A","1994",1.68465551812438,
"CAN","GDEXPRD","TOT","PC_GDP","A","1995",1.65387838931436,
"CAN","GDEXPRD","TOT","PC_GDP","A","1996",1.60682178187883,
"CAN","GDEXPRD","TOT","PC_GDP","A","1997",1.61380311072789,
"CAN","GDEXPRD","TOT","PC_GDP","A","1998",1.71049218115397,
"CAN","GDEXPRD","TOT","PC_GDP","A","1999",1.74982910468715,
"CAN","GDEXPRD","TOT","PC_GDP","A","2000",1.85847020670463,
"CAN","GDEXPRD","TOT","PC_GDP","A","2001",2.02115604219326,
"CAN","GDEXPRD","TOT","PC_GDP","A","2002",1.97169458839535,
"CAN","GDEXPRD","TOT","PC_GDP","A","2003",1.96780705592442,
"CAN","GDEXPRD","TOT","PC_GDP","A","2004",1.99733329540154,
"CAN","GDEXPRD","TOT","PC_GDP","A","2005",1.97124346682236,
"CAN","GDEXPRD","TOT","PC_GDP","A","2006",1.94299894962194,
"CAN","GDEXPRD","TOT","PC_GDP","A","2007",1.90357751126509,
"CAN","GDEXPRD","TOT","PC_GDP","A","2008",1.85577785944947,
"CAN","GDEXPRD","TOT","PC_GDP","A","2009",1.91741539354459,
"CAN","GDEXPRD","TOT","PC_GDP","A","2010",1.82527754302397,
"CAN","GDEXPRD","TOT","PC_GDP","A","2011",1.78714059196319,
"CAN","GDEXPRD","TOT","PC_GDP","A","2012",1.7723282769657,
"CAN","GDEXPRD","TOT","PC_GDP","A","2013",1.70540418778424,
"CAN","GDEXPRD","TOT","PC_GDP","A","2014",1.71417285495299,
"CAN","GDEXPRD","TOT","PC_GDP","A","2015",1.69324285422175,
"CAN","GDEXPRD","TOT","PC_GDP","A","2016",1.7290246774309,
"CAN","GDEXPRD","TOT","PC_GDP","A","2017",1.68701804739795,
"CAN","GDEXPRD","TOT","PC_GDP","A","2018",1.74070262750273,
"CAN","GDEXPRD","TOT","PC_GDP","A","2019",1.74599863591828,
"CAN","GDEXPRD","TOT","PC_GDP","A","2020",1.84188250306784,
"CAN","GDEXPRD","TOT","PC_GDP","A","2021",1.60705683500533,
"CZE","GDEXPRD","TOT","MLN_USD","A","1995",1929.58151633102,
"CZE","GDEXPRD","TOT","MLN_USD","A","1996",2042.17403920917,
"CZE","GDEXPRD","TOT","MLN_USD","A","1997",2257.94707882354,
"CZE","GDEXPRD","TOT","MLN_USD","A","1998",2413.90482784994,
"CZE","GDEXPRD","TOT","MLN_USD","A","1999",2422.73580851485,
"CZE","GDEXPRD","TOT","MLN_USD","A","2000",2664.67395909189,
"CZE","GDEXPRD","TOT","MLN_USD","A","2001",2717.88309450473,
"CZE","GDEXPRD","TOT","MLN_USD","A","2002",2759.26441490105,
"CZE","GDEXPRD","TOT","MLN_USD","A","2003",2972.41286327889,
"CZE","GDEXPRD","TOT","MLN_USD","A","2004",3108.02400271966,
"CZE","GDEXPRD","TOT","MLN_USD","A","2005",3376.1452393051,
"CZE","GDEXPRD","TOT","MLN_USD","A","2006",3804.63403337468,
"CZE","GDEXPRD","TOT","MLN_USD","A","2007",4246.98726099278,
"CZE","GDEXPRD","TOT","MLN_USD","A","2008",4151.92387863868,
"CZE","GDEXPRD","TOT","MLN_USD","A","2009",4128.55583587154,
"CZE","GDEXPRD","TOT","MLN_USD","A","2010",4361.04745648383,
"CZE","GDEXPRD","TOT","MLN_USD","A","2011",5167.23512478844,
"CZE","GDEXPRD","TOT","MLN_USD","A","2012",5873.07234981951,
"CZE","GDEXPRD","TOT","MLN_USD","A","2013",6233.84061128392,
"CZE","GDEXPRD","TOT","MLN_USD","A","2014",6643.1498007338,
"CZE","GDEXPRD","TOT","MLN_USD","A","2015",6852.95471908851,
"CZE","GDEXPRD","TOT","MLN_USD","A","2016",6121.90399846511,
"CZE","GDEXPRD","TOT","MLN_USD","A","2017",6818.14796732489,
"CZE","GDEXPRD","TOT","MLN_USD","A","2018",7557.05609956198,
"CZE","GDEXPRD","TOT","MLN_USD","A","2019",7901.97521168632,
"CZE","GDEXPRD","TOT","MLN_USD","A","2020",7694.32987438386,
"CZE","GDEXPRD","TOT","PC_GDP","A","1995",0.87593481450298,
"CZE","GDEXPRD","TOT","PC_GDP","A","1996",0.88912152761643,
"CZE","GDEXPRD","TOT","PC_GDP","A","1997",0.98818685109872,
"CZE","GDEXPRD","TOT","PC_GDP","A","1998",1.06022190238076,
"CZE","GDEXPRD","TOT","PC_GDP","A","1999",1.04957294395919,
"CZE","GDEXPRD","TOT","PC_GDP","A","2000",1.10997452529849,
"CZE","GDEXPRD","TOT","PC_GDP","A","2001",1.09870553047815,
"CZE","GDEXPRD","TOT","PC_GDP","A","2002",1.09819389353032,
"CZE","GDEXPRD","TOT","PC_GDP","A","2003",1.14209824711028,
"CZE","GDEXPRD","TOT","PC_GDP","A","2004",1.13935305291265,
"CZE","GDEXPRD","TOT","PC_GDP","A","2005",1.1609974960441,
"CZE","GDEXPRD","TOT","PC_GDP","A","2006",1.22542372456053,
"CZE","GDEXPRD","TOT","PC_GDP","A","2007",1.29572380725855,
"CZE","GDEXPRD","TOT","PC_GDP","A","2008",1.23358160213314,
"CZE","GDEXPRD","TOT","PC_GDP","A","2009",1.28655796748872,
"CZE","GDEXPRD","TOT","PC_GDP","A","2010",1.32670404070255,
"CZE","GDEXPRD","TOT","PC_GDP","A","2011",1.54476645407074,
"CZE","GDEXPRD","TOT","PC_GDP","A","2012",1.76967142799845,
"CZE","GDEXPRD","TOT","PC_GDP","A","2013",1.87924059316247,
"CZE","GDEXPRD","TOT","PC_GDP","A","2014",1.958330634001,
"CZE","GDEXPRD","TOT","PC_GDP","A","2015",1.91688960340106,
"CZE","GDEXPRD","TOT","PC_GDP","A","2016",1.67002873055278,
"CZE","GDEXPRD","TOT","PC_GDP","A","2017",1.76854959801299,
"CZE","GDEXPRD","TOT","PC_GDP","A","2018",1.89906243317714,
"CZE","GDEXPRD","TOT","PC_GDP","A","2019",1.92734326766581,
"CZE","GDEXPRD","TOT","PC_GDP","A","2020",1.9859853539882,
"DNK","GDEXPRD","TOT","MLN_USD","A","1981",1523.84427772088,
"DNK","GDEXPRD","TOT","MLN_USD","A","1982",1638.68190869675,
"DNK","GDEXPRD","TOT","MLN_USD","A","1983",1757.90240732489,
"DNK","GDEXPRD","TOT","MLN_USD","A","1984",1876.44727808621,
"DNK","GDEXPRD","TOT","MLN_USD","A","1985",2006.92780165705,
"DNK","GDEXPRD","TOT","MLN_USD","A","1986",2247.36932275761,
"DNK","GDEXPRD","TOT","MLN_USD","A","1987",2418.0074943256,
"DNK","GDEXPRD","TOT","MLN_USD","A","1988",2555.75675787365,
"DNK","GDEXPRD","TOT","MLN_USD","A","1989",2653.28910199817,
"DNK","GDEXPRD","TOT","MLN_USD","A","1990",2826.06180727887,
"DNK","GDEXPRD","TOT","MLN_USD","A","1991",2986.70356999734,
"DNK","GDEXPRD","TOT","MLN_USD","A","1992",3104.12491087253,
"DNK","GDEXPRD","TOT","MLN_USD","A","1993",3251.5498384002,
"DNK","GDEXPRD","TOT","MLN_USD","A","1995",3734.46960165496,
"DNK","GDEXPRD","TOT","MLN_USD","A","1996",3880.66013627844,
"DNK","GDEXPRD","TOT","MLN_USD","A","1997",4190.12477771731,
"DNK","GDEXPRD","TOT","MLN_USD","A","1998",4548.43787685166,
"DNK","GDEXPRD","TOT","MLN_USD","A","1999",4966.00418671333,
"DNK","GDEXPRD","TOT","MLN_USD","A","2001",5675.50013777051,
"DNK","GDEXPRD","TOT","MLN_USD","A","2002",5988.41035466269,
"DNK","GDEXPRD","TOT","MLN_USD","A","2003",6182.65648758319,
"DNK","GDEXPRD","TOT","MLN_USD","A","2004",6115.84436462384,
"DNK","GDEXPRD","TOT","MLN_USD","A","2005",6192.02593689006,
"DNK","GDEXPRD","TOT","MLN_USD","A","2006",6460.20877500751,
"DNK","GDEXPRD","TOT","MLN_USD","A","2007",6823.89662614114,
"DNK","GDEXPRD","TOT","MLN_USD","A","2008",7485.40607610404,
"DNK","GDEXPRD","TOT","MLN_USD","A","2009",7841.08017128737,
"DNK","GDEXPRD","TOT","MLN_USD","A","2010",7626.78165349961,
"DNK","GDEXPRD","TOT","MLN_USD","A","2011",7801.82114408474,
"DNK","GDEXPRD","TOT","MLN_USD","A","2012",7916.67191575891,
"DNK","GDEXPRD","TOT","MLN_USD","A","2013",7961.70675112474,
"DNK","GDEXPRD","TOT","MLN_USD","A","2014",7937.05519760294,
"DNK","GDEXPRD","TOT","MLN_USD","A","2015",8515.66911287879,
"DNK","GDEXPRD","TOT","MLN_USD","A","2016",8901.06416989236,
"DNK","GDEXPRD","TOT","MLN_USD","A","2017",8674.05616320196,
"DNK","GDEXPRD","TOT","MLN_USD","A","2018",8951.61186951373,
"DNK","GDEXPRD","TOT","MLN_USD","A","2019",8873.41511689199,
"DNK","GDEXPRD","TOT","MLN_USD","A","2020",8912.21129601108,
